,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,0.0715,https://api.spotify.com/v1/audio-analysis/0nxYyX5PIHJqF4VSb4CIFV,0.469,164797,0.8009999999999999,0nxYyX5PIHJqF4VSb4CIFV,0.0,0.49,-5.635,1,0.0834,124.068,4,https://api.spotify.com/v1/tracks/0nxYyX5PIHJqF4VSb4CIFV,audio_features,spotify:track:0nxYyX5PIHJqF4VSb4CIFV,0.425
17,0.0245,https://api.spotify.com/v1/audio-analysis/0tDC3KJPPu5eonGTtCURpq,0.597,209208,0.685,0tDC3KJPPu5eonGTtCURpq,0.000335,0.182,-6.371,1,0.0367,122.00200000000001,4,https://api.spotify.com/v1/tracks/0tDC3KJPPu5eonGTtCURpq,audio_features,spotify:track:0tDC3KJPPu5eonGTtCURpq,0.369
18,0.196,https://api.spotify.com/v1/audio-analysis/2KMJ5CoxY4ECG9TZyNWmpv,0.7020000000000001,187126,0.82,2KMJ5CoxY4ECG9TZyNWmpv,0.0,0.156,-4.323,0,0.063,107.936,4,https://api.spotify.com/v1/tracks/2KMJ5CoxY4ECG9TZyNWmpv,audio_features,spotify:track:2KMJ5CoxY4ECG9TZyNWmpv,0.52
19,0.027000000000000003,https://api.spotify.com/v1/audio-analysis/45vQQXKfA4edHqKV5roP3M,0.698,203241,0.8390000000000001,45vQQXKfA4edHqKV5roP3M,0.0357,0.0779,-5.983,0,0.193,123.988,4,https://api.spotify.com/v1/tracks/45vQQXKfA4edHqKV5roP3M,audio_features,spotify:track:45vQQXKfA4edHqKV5roP3M,0.7090000000000001
20,0.179,https://api.spotify.com/v1/audio-analysis/7Feaw9WAEREY0DUOSXJLOM,0.6609999999999999,163805,0.723,7Feaw9WAEREY0DUOSXJLOM,1.23e-05,0.14,-6.976,0,0.0566,113.77799999999999,4,https://api.spotify.com/v1/tracks/7Feaw9WAEREY0DUOSXJLOM,audio_features,spotify:track:7Feaw9WAEREY0DUOSXJLOM,0.316
21,0.109,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,0.501,195707,0.519,23L5CiUhw2jV1OIMwthR3S,0.0,0.45399999999999996,-5.88,0,0.0409,133.99,4,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,audio_features,spotify:track:23L5CiUhw2jV1OIMwthR3S,0.168
22,0.0841,https://api.spotify.com/v1/audio-analysis/0rohJsT6NWsThpukt0Xxdc,0.442,206279,0.619,0rohJsT6NWsThpukt0Xxdc,0.0,0.0889,-5.28,1,0.0321,128.31799999999998,4,https://api.spotify.com/v1/tracks/0rohJsT6NWsThpukt0Xxdc,audio_features,spotify:track:0rohJsT6NWsThpukt0Xxdc,0.382
23,0.0895,https://api.spotify.com/v1/audio-analysis/3ebXMykcMXOcLeJ9xZ17XH,0.584,220883,0.54,3ebXMykcMXOcLeJ9xZ17XH,0.0,0.261,-7.7860000000000005,0,0.0576,137.972,4,https://api.spotify.com/v1/tracks/3ebXMykcMXOcLeJ9xZ17XH,audio_features,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,0.195
24,0.212,https://api.spotify.com/v1/audio-analysis/4RVtBlHFKj51Ipvpfv5ER4,0.573,174062,0.7390000000000001,4RVtBlHFKj51Ipvpfv5ER4,0.0,0.175,-5.455,1,0.0581,120.07700000000001,4,https://api.spotify.com/v1/tracks/4RVtBlHFKj51Ipvpfv5ER4,audio_features,spotify:track:4RVtBlHFKj51Ipvpfv5ER4,0.363
25,0.584,https://api.spotify.com/v1/audio-analysis/3nc420PXjTdBV5TN0gCFkS,0.506,216420,0.693,3nc420PXjTdBV5TN0gCFkS,9.58e-05,0.0891,-7.265,0,0.0412,139.912,4,https://api.spotify.com/v1/tracks/3nc420PXjTdBV5TN0gCFkS,audio_features,spotify:track:3nc420PXjTdBV5TN0gCFkS,0.221
